abilities,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,attack,base_egg_steps,base_happiness,base_total,capture_rate,classfication,defense,experience_growth,height_m,hp,japanese_name,name,percentage_male,pokedex_number,sp_attack,sp_defense,speed,type1,type2,weight_kg,generation,is_legendary,Evolution
"['Run Away', 'Pickup', 'Skill Link']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,70,5120,70,360,45,Long Tail Pokémon,55,800000,0.8,55,Eipamエイパム,aipom,50.0,190,40,55,85,normal,,11.5,2,0,ambipom
"['Chlorophyll', 'Solar Power', 'Early Bird']",2.0,1.0,1.0,0.5,1.0,1.0,2.0,2.0,1.0,0.5,0.5,2.0,1.0,2.0,1.0,1.0,1.0,0.5,30,5120,70,180,235,Seed Pokémon,30,1059860,0.3,30,Himanutsヒマナッツ,sunkern,50.0,191,30,30,30,grass,,1.8,2,0,sunflora
"['Chlorophyll', 'Solar Power', 'Early Bird']",2.0,1.0,1.0,0.5,1.0,1.0,2.0,2.0,1.0,0.5,0.5,2.0,1.0,2.0,1.0,1.0,1.0,0.5,75,5120,70,425,120,Sun Pokémon,55,1059860,0.8,75,Kimawariキマワリ,sunflora,50.0,192,105,85,30,grass,,8.5,2,0,
"['Speed Boost', 'Compoundeyes', 'Frisk']",0.5,1.0,1.0,2.0,1.0,0.25,2.0,2.0,1.0,0.25,0.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,65,5120,70,390,75,Clear Wing Pokémon,45,1000000,1.2,65,Yanyanmaヤンヤンマ,yanma,50.0,193,75,45,95,bug,flying,38.0,2,0,yanmega
"['Damp', 'Water Absorb', 'Unaware']",1.0,1.0,1.0,0.0,1.0,1.0,0.5,1.0,1.0,4.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,1.0,45,5120,70,210,255,Water Fish Pokémon,45,1000000,0.4,55,Upahウパー,wooper,50.0,194,25,25,15,water,ground,8.5,2,0,quagsire
"['Damp', 'Water Absorb', 'Unaware']",1.0,1.0,1.0,0.0,1.0,1.0,0.5,1.0,1.0,4.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,1.0,85,5120,70,430,90,Water Fish Pokémon,85,1000000,1.4,95,Nuohヌオー,quagsire,50.0,195,65,65,35,water,ground,75.0,2,0,
"['Synchronize', 'Magic Bounce']",2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,65,8960,70,525,45,Sun Pokémon,60,1000000,0.9,65,Eifieエーフィ,espeon,88.1,196,130,95,110,psychic,,26.5,2,0,
"['Synchronize', 'Inner Focus']",2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,65,8960,35,525,45,Moonlight Pokémon,110,1000000,1.0,95,Blackyブラッキー,umbreon,88.1,197,60,130,65,dark,,27.0,2,0,
"['Insomnia', 'Super Luck', 'Prankster']",1.0,0.5,1.0,2.0,2.0,1.0,1.0,1.0,0.5,0.5,0.0,2.0,1.0,1.0,0.0,2.0,1.0,1.0,85,5120,35,405,30,Darkness Pokémon,42,1059860,0.5,60,Yamikarasuヤミカラス,murkrow,50.0,198,85,42,91,dark,flying,2.1,2,0,honchkrow
"['Oblivious', 'Own Tempo', 'Regenerator']",2.0,2.0,1.0,2.0,1.0,0.5,0.5,1.0,2.0,2.0,1.0,0.5,1.0,1.0,0.5,1.0,0.5,0.5,75,5120,70,490,70,Royal Pokémon,80,1000000,2.0,95,Yadokingヤドキング,slowking,50.0,199,100,110,30,water,psychic,79.5,2,0,
['Levitate'],0.5,2.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.5,1.0,1.0,1.0,1.0,60,6400,35,435,45,Screech Pokémon,60,800000,0.7,60,Mumaムウマ,misdreavus,50.0,200,85,85,85,ghost,,1.0,2,0,mismagius
['Levitate'],2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,72,10240,70,336,225,Symbol Pokémon,48,1000000,0.5,48,Unknownアンノーン,unown,,201,72,48,48,psychic,,5.0,2,0,
"['Shadow Tag', 'Telepathy']",2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,33,5120,70,405,45,Patient Pokémon,58,1000000,1.3,190,Sonansソーナンス,wobbuffet,50.0,202,33,58,33,psychic,,28.5,2,0,
"['Inner Focus', 'Early Bird', 'Sap Sipper']",2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,80,5120,70,455,60,Long Neck Pokémon,65,1000000,1.5,70,Kirinrikiキリンリキ,girafarig,50.0,203,90,65,85,normal,psychic,41.5,2,0,
"['Sturdy', 'Overcoat']",1.0,1.0,1.0,1.0,1.0,0.5,2.0,2.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,65,5120,70,290,190,Bagworm Pokémon,90,1000000,0.6,50,Kunugidamaクヌギダマ,pineco,50.0,204,35,35,15,bug,,7.2,2,0,forretress
"['Sturdy', 'Overcoat']",0.5,1.0,0.5,1.0,0.5,1.0,4.0,1.0,1.0,0.25,1.0,0.5,0.5,0.0,0.5,1.0,0.5,1.0,90,5120,70,465,75,Bagworm Pokémon,140,1000000,1.2,75,Foretosフォレトス,forretress,50.0,205,60,60,40,bug,steel,125.8,2,0,
"['Serene Grace', 'Run Away', 'Rattled']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,70,5120,70,415,190,Land Snake Pokémon,70,1000000,1.5,100,Nokocchiノコッチ,dunsparce,50.0,206,65,65,45,normal,,14.0,2,0,
"['Hyper Cutter', 'Sand Veil', 'Immunity']",0.5,1.0,1.0,0.0,1.0,0.5,1.0,1.0,1.0,1.0,0.0,4.0,1.0,0.5,1.0,1.0,1.0,2.0,75,5120,70,430,60,Flyscorpion Pokémon,105,1059860,1.1,65,Gligerグライガー,gligar,50.0,207,35,65,85,ground,flying,64.8,2,0,gliscor
"['Rock Head', 'Sturdy', 'Sheer Force']",0.5,1.0,0.5,0.0,0.5,2.0,2.0,0.5,1.0,1.0,2.0,1.0,0.5,0.0,0.5,0.25,0.5,2.0,125,6400,70,610,25,Iron Snake Pokémon,230,1000000,9.2,75,Haganeilハガネール,steelix,50.0,208,55,95,30,steel,ground,400.0,2,0,
"['Intimidate', 'Run Away', 'Rattled']",0.5,0.5,0.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,80,5120,70,300,190,Fairy Pokémon,50,800000,0.6,60,Buluブルー,snubbull,24.6,209,40,40,30,fairy,,7.8,2,0,granbull
"['Intimidate', 'Quick Feet', 'Rattled']",0.5,0.5,0.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,120,5120,70,450,75,Fairy Pokémon,75,800000,1.4,90,Granbuluグランブル,granbull,24.6,210,60,60,45,fairy,,48.7,2,0,
"['Poison Point', 'Swift Swim', 'Intimidate']",0.5,1.0,1.0,2.0,0.5,0.5,0.5,1.0,1.0,1.0,2.0,0.5,1.0,0.5,2.0,1.0,0.5,0.5,95,5120,70,440,45,Balloon Pokémon,85,1000000,0.5,65,Harysenハリーセン,qwilfish,50.0,211,55,55,85,water,poison,3.9,2,0,
"['Swarm', 'Technician', 'Light Metal']",0.5,1.0,0.5,1.0,0.5,1.0,4.0,1.0,1.0,0.25,1.0,0.5,0.5,0.0,0.5,1.0,0.5,1.0,150,6400,70,600,25,Pincer Pokémon,140,1000000,1.8,70,Hassamハッサム,scizor,50.0,212,65,100,75,bug,steel,118.0,2,0,
"['Sturdy', 'Gluttony', 'Contrary']",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,2.0,2.0,2.0,10,5120,70,505,190,Mold Pokémon,230,1059860,0.6,20,Tsubotsuboツボツボ,shuckle,50.0,213,10,230,5,bug,rock,20.5,2,0,
"['Swarm', 'Guts', 'Moxie']",0.5,0.5,1.0,1.0,2.0,0.5,2.0,4.0,1.0,0.5,0.5,1.0,1.0,1.0,2.0,1.0,1.0,1.0,185,6400,70,600,45,Singlehorn Pokémon,115,1250000,1.5,80,Heracrosヘラクロス,heracross,50.0,214,40,105,75,bug,fighting,54.0,2,0,
"['Inner Focus', 'Keen Eye', 'Pickpocket']",2.0,0.5,1.0,1.0,2.0,4.0,2.0,1.0,0.5,1.0,1.0,0.5,1.0,1.0,0.0,2.0,2.0,1.0,95,5120,35,430,60,Sharp Claw Pokémon,55,1059860,0.9,55,Nyulaニューラ,sneasel,50.0,215,35,75,115,dark,ice,28.0,2,0,weavile
"['Pickup', 'Quick Feet', 'Honey Gather']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,80,5120,70,330,120,Little Bear Pokémon,50,1000000,0.6,60,Himegumaヒメグマ,teddiursa,50.0,216,50,50,40,normal,,8.8,2,0,ursaring
"['Guts', 'Quick Feet', 'Unnerve']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,130,5120,70,500,60,Hibernator Pokémon,75,1000000,1.8,90,Ringumaリングマ,ursaring,50.0,217,75,75,55,normal,,125.8,2,0,
"['Magma Armor', 'Flame Body', 'Weak Armor']",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,40,5120,70,250,190,Lava Pokémon,40,1000000,0.7,40,Magmagマグマッグ,slugma,50.0,218,70,40,20,fire,,35.0,2,0,magcargo
"['Magma Armor', 'Flame Body', 'Weak Armor']",0.5,1.0,1.0,1.0,0.5,2.0,0.25,0.5,1.0,1.0,4.0,0.5,0.5,0.5,1.0,2.0,1.0,4.0,50,5120,70,430,75,Lava Pokémon,120,1000000,0.8,60,Magcargotマグカルゴ,magcargo,50.0,219,90,80,30,fire,rock,55.0,2,0,
"['Oblivious', 'Snow Cloak', 'Thick Fat']",1.0,1.0,1.0,0.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,2.0,50,5120,70,250,225,Pig Pokémon,40,1250000,0.4,50,Urimooウリムー,swinub,50.0,220,30,30,50,ice,ground,6.5,2,0,piloswine
"['Oblivious', 'Snow Cloak', 'Thick Fat']",1.0,1.0,1.0,0.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,2.0,100,5120,70,450,75,Swine Pokémon,80,1250000,1.1,100,Inomooイノムー,piloswine,50.0,221,60,60,50,ice,ground,55.8,2,0,mamoswine
"['Hustle', 'Natural Cure', 'Regenerator']",1.0,1.0,1.0,2.0,1.0,2.0,0.25,0.5,1.0,4.0,2.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,55,5120,70,410,60,Coral Pokémon,95,800000,0.6,65,Sunnygoサニーゴ,corsola,24.6,222,65,95,35,water,rock,5.0,2,0,
"['Hustle', 'Sniper', 'Moody']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,65,5120,70,300,190,Jet Pokémon,35,1000000,0.6,35,Teppouoテッポウオ,remoraid,50.0,223,65,35,65,water,,12.0,2,0,octillery
"['Suction Cups', 'Sniper', 'Moody']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,105,5120,70,480,75,Jet Pokémon,75,1000000,0.9,75,Okutankオクタン,octillery,50.0,224,105,75,45,water,,28.5,2,0,
"['Vital Spirit', 'Hustle', 'Insomnia']",0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,0.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,55,5120,70,330,45,Delivery Pokémon,45,800000,0.9,45,Delibirdデリバード,delibird,50.0,225,65,45,75,ice,flying,16.0,2,0,
"['Swift Swim', 'Water Absorb', 'Water Veil']",0.5,1.0,1.0,4.0,1.0,0.5,0.5,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,0.5,0.5,40,6400,70,485,25,Kite Pokémon,70,1250000,2.1,85,Mantainマンタイン,mantine,50.0,226,80,140,70,water,flying,220.0,2,0,
"['Keen Eye', 'Sturdy', 'Weak Armor']",0.25,1.0,0.5,2.0,0.5,1.0,2.0,0.5,1.0,0.25,0.0,1.0,0.5,0.0,0.5,1.0,0.5,1.0,80,6400,70,465,25,Armor Bird Pokémon,140,1250000,1.7,65,Airmdエアームド,skarmory,50.0,227,40,70,70,steel,flying,50.5,2,0,
"['Early Bird', 'Flash Fire', 'Unnerve']",1.0,0.5,1.0,1.0,1.0,2.0,0.5,1.0,0.5,0.5,2.0,0.5,1.0,1.0,0.0,2.0,0.5,2.0,60,5120,35,330,120,Dark Pokémon,30,1250000,0.6,45,Delvilデルビル,houndour,50.0,228,80,50,65,dark,fire,10.8,2,0,houndoom
"['Early Bird', 'Flash Fire', 'Unnerve']",1.0,0.5,1.0,1.0,1.0,2.0,0.5,1.0,0.5,0.5,2.0,0.5,1.0,1.0,0.0,2.0,0.5,2.0,90,5120,35,600,45,Dark Pokémon,90,1250000,1.4,75,Hellgarヘルガー,houndoom,50.0,229,140,90,115,dark,fire,35.0,2,0,
"['Swift Swim', 'Sniper', 'Damp']",1.0,1.0,2.0,1.0,2.0,1.0,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.25,95,5120,70,540,45,Dragon Pokémon,95,1000000,1.8,75,Kingdraキングドラ,kingdra,50.0,230,95,95,85,water,dragon,152.0,2,0,
"['Pickup', 'Sand Veil']",1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,60,5120,70,330,120,Long Nose Pokémon,60,1000000,0.5,90,Gomazouゴマゾウ,phanpy,50.0,231,40,40,40,ground,,33.5,2,0,donphan
"['Sturdy', 'Sand Veil']",1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,120,5120,70,500,60,Armor Pokémon,120,1000000,1.1,90,Donfanドンファン,donphan,50.0,232,60,60,50,ground,,120.0,2,0,
"['Trace', 'Download', 'Analytic']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,80,5120,70,515,45,Virtual Pokémon,90,1000000,0.6,85,Porygon2ポリゴン２,porygon2,,233,105,95,60,normal,,32.5,2,0,
"['Intimidate', 'Frisk', 'Sap Sipper']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,95,5120,70,465,45,Big Horn Pokémon,62,1250000,1.4,73,Odoshishiオドシシ,stantler,50.0,234,85,65,85,normal,,71.2,2,0,
"['Own Tempo', 'Technician', 'Moody']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20,5120,70,250,45,Painter Pokémon,35,800000,1.2,55,Dobleドーブル,smeargle,50.0,235,20,45,75,normal,,58.0,2,0,
"['Guts', 'Steadfast', 'Vital Spirit']",0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,35,6400,70,210,75,Scuffle Pokémon,35,1000000,0.7,35,Balkieバルキー,tyrogue,100.0,236,35,35,35,fighting,,21.0,2,0,hitmonlee/hitmonchan/hitmontop
"['Intimidate', 'Technician', 'Steadfast']",0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,95,6400,70,455,45,Handstand Pokémon,95,1000000,1.4,50,Kapoererカポエラー,hitmontop,100.0,237,35,110,70,fighting,,48.0,2,0,
"['Oblivious', 'Forewarn', 'Hydration']",2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,0.5,2.0,2.0,1.0,30,6400,70,305,45,Kiss Pokémon,15,1000000,0.4,45,Muchulムチュール,smoochum,0.0,238,85,65,65,ice,psychic,6.0,2,0,jynx
"['Static', 'Vital Spirit']",1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,63,6400,70,360,45,Electric Pokémon,37,1000000,0.6,45,Elekidエレキッド,elekid,75.4,239,65,55,95,electric,,23.5,2,0,electabuzz
"['Flame Body', 'Vital Spirit']",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,75,6400,70,365,45,Live Coal Pokémon,37,1000000,0.7,45,Bubyブビィ,magby,75.4,240,70,55,83,fire,,21.4,2,0,magmar
"['Thick Fat', 'Scrappy', 'Sap Sipper']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,80,5120,70,490,45,Milk Cow Pokémon,105,1250000,1.2,95,Miltankミルタンク,miltank,0.0,241,40,70,100,normal,,75.5,2,0,
"['Natural Cure', 'Serene Grace', 'Healer']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10,10240,140,540,30,Happiness Pokémon,10,800000,1.5,255,Happinasハピナス,blissey,0.0,242,75,135,55,normal,,46.8,2,0,
"['Pressure', 'Inner Focus']",1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,85,20480,35,580,3,Thunder Pokémon,75,1250000,1.9,90,Raikouライコウ,raikou,,243,115,100,115,electric,,178.0,2,1,
"['Pressure', 'Inner Focus']",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,115,20480,35,580,3,Volcano Pokémon,85,1250000,2.1,115,Enteiエンテイ,entei,,244,90,75,100,fire,,198.0,2,1,
"['Pressure', 'Inner Focus']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,75,20480,35,580,3,Aurora Pokémon,115,1250000,2.0,100,Suicuneスイクン,suicune,,245,90,115,85,water,,187.0,2,1,
"['Guts', 'Sand Veil']",1.0,1.0,1.0,0.0,1.0,2.0,0.5,0.5,1.0,4.0,2.0,2.0,0.5,0.25,1.0,0.5,2.0,4.0,64,10240,35,300,45,Rock Skin Pokémon,50,1250000,0.6,50,Yogirasヨーギラス,larvitar,50.0,246,45,50,41,rock,ground,72.0,2,0,pupitar
['Shed Skin'],1.0,1.0,1.0,0.0,1.0,2.0,0.5,0.5,1.0,4.0,2.0,2.0,0.5,0.25,1.0,0.5,2.0,4.0,84,10240,35,410,45,Hard Shell Pokémon,70,1250000,1.2,70,Sanagirasサナギラス,pupitar,50.0,247,65,70,51,rock,ground,152.0,2,0,tyranitar
"['Sand Stream', 'Unnerve']",2.0,0.5,1.0,1.0,2.0,4.0,0.5,0.5,0.5,2.0,2.0,1.0,0.5,0.5,0.0,1.0,2.0,2.0,164,10240,35,700,45,Armor Pokémon,150,1250000,2.0,100,Bangirasバンギラス,tyranitar,50.0,248,95,120,71,rock,dark,202.0,2,0.5,
"['Pressure', 'Multiscale']",1.0,2.0,1.0,2.0,1.0,0.25,1.0,1.0,2.0,0.5,0.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,90,30720,0,680,3,Diving Pokémon,130,1250000,5.2,106,Lugiaルギア,lugia,,249,90,154,110,psychic,flying,216.0,2,1,
"['Pressure', 'Regenerator']",0.25,1.0,1.0,2.0,0.5,0.5,0.5,1.0,1.0,0.25,0.0,1.0,1.0,1.0,1.0,4.0,0.5,2.0,130,30720,0,680,3,Rainbow Pokémon,90,1250000,3.8,106,Hououホウオウ,ho-oh,,250,110,154,90,fire,flying,199.0,2,1,
['Natural Cure'],4.0,2.0,1.0,0.5,1.0,0.5,2.0,2.0,2.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,0.5,100,30720,100,600,45,Time Travel Pokémon,100,1059860,0.6,100,Celebiセレビィ,celebi,,251,100,100,100,psychic,grass,5.0,2,1,
"['Overgrow', 'Unburden']",2.0,1.0,1.0,0.5,1.0,1.0,2.0,2.0,1.0,0.5,0.5,2.0,1.0,2.0,1.0,1.0,1.0,0.5,45,5120,70,310,45,Wood Gecko Pokémon,35,1059860,0.5,40,Kimoriキモリ,treecko,88.1,252,65,55,70,grass,,5.0,3,0,grovyle
"['Overgrow', 'Unburden']",2.0,1.0,1.0,0.5,1.0,1.0,2.0,2.0,1.0,0.5,0.5,2.0,1.0,2.0,1.0,1.0,1.0,0.5,65,5120,70,405,45,Wood Gecko Pokémon,45,1059860,0.9,50,Juptileジュプトル,grovyle,88.1,253,85,65,95,grass,,21.6,3,0,sceptile
"['Overgrow', 'Unburden']",2.0,1.0,1.0,0.5,1.0,1.0,2.0,2.0,1.0,0.5,0.5,2.0,1.0,2.0,1.0,1.0,1.0,0.5,110,5120,70,630,45,Forest Pokémon,75,1059860,1.7,70,Jukainジュカイン,sceptile,88.1,254,145,85,145,grass,,52.2,3,0,
"['Blaze', 'Speed Boost']",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,60,5120,70,310,45,Chick Pokémon,40,1059860,0.4,45,Achamoアチャモ,torchic,88.1,255,70,50,45,fire,,2.5,3,0,combusken
"['Blaze', 'Speed Boost']",0.25,0.5,1.0,1.0,1.0,1.0,0.5,2.0,1.0,0.5,2.0,0.5,1.0,1.0,2.0,1.0,0.5,2.0,85,5120,70,405,45,Young Fowl Pokémon,60,1059860,0.9,60,Wakasyamoワカシャモ,combusken,88.1,256,85,60,55,fire,fighting,19.5,3,0,blaziken
"['Blaze', 'Speed Boost']",0.25,0.5,1.0,1.0,1.0,1.0,0.5,2.0,1.0,0.5,2.0,0.5,1.0,1.0,2.0,1.0,0.5,2.0,160,5120,70,630,45,Blaze Pokémon,80,1059860,1.9,80,Bursyamoバシャーモ,blaziken,88.1,257,130,80,100,fire,fighting,52.0,3,0,
"['Torrent', 'Damp']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,70,5120,70,310,45,Mud Fish Pokémon,50,1059860,0.4,50,Mizugorouミズゴロウ,mudkip,88.1,258,50,50,40,water,,7.6,3,0,marshtomp
"['Torrent', 'Damp']",1.0,1.0,1.0,0.0,1.0,1.0,0.5,1.0,1.0,4.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,1.0,85,5120,70,405,45,Mud Fish Pokémon,70,1059860,0.7,70,Numacrawヌマクロー,marshtomp,88.1,259,60,70,50,water,ground,28.0,3,0,swampert
"['Torrent', 'Damp']",1.0,1.0,1.0,0.0,1.0,1.0,0.5,1.0,1.0,4.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,1.0,150,5120,70,635,45,Mud Fish Pokémon,110,1059860,1.5,100,Laglargeラグラージ,swampert,88.1,260,95,110,70,water,ground,81.9,3,0,
"['Run Away', 'Quick Feet', 'Rattled']",2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,55,3840,70,220,255,Bite Pokémon,35,1000000,0.5,35,Pochienaポチエナ,poochyena,50.0,261,30,30,35,dark,,13.6,3,0,mightyena
"['Intimidate', 'Quick Feet', 'Moxie']",2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,90,3840,70,420,127,Bite Pokémon,70,1000000,1.0,70,Graenaグラエナ,mightyena,50.0,262,60,60,70,dark,,37.0,3,0,
"['Pickup', 'Gluttony', 'Quick Feet']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,30,3840,70,240,255,Tiny Racoon Pokémon,41,1000000,0.4,38,Jiguzagumaジグザグマ,zigzagoon,50.0,263,30,41,60,normal,,17.5,3,0,linoone
"['Pickup', 'Gluttony', 'Quick Feet']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,70,3840,70,420,90,Rush Pokémon,61,1000000,0.5,78,Massugumaマッスグマ,linoone,50.0,264,50,61,100,normal,,32.5,3,0,
"['Shield Dust', 'Run Away']",1.0,1.0,1.0,1.0,1.0,0.5,2.0,2.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,45,3840,70,195,255,Worm Pokémon,35,1000000,0.3,45,Kemussoケムッソ,wurmple,50.0,265,20,30,20,bug,,3.6,3,0,silcoon/cascoon
['Shed Skin'],1.0,1.0,1.0,1.0,1.0,0.5,2.0,2.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,35,3840,70,205,120,Cocoon Pokémon,55,1000000,0.6,50,Karasalisカラサリス,silcoon,50.0,266,25,25,15,bug,,10.0,3,0,beautifly
"['Swarm', 'Rivalry']",0.5,1.0,1.0,2.0,1.0,0.25,2.0,2.0,1.0,0.25,0.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,70,3840,70,395,45,Butterfly Pokémon,50,1000000,1.0,60,Agehuntアゲハント,beautifly,50.0,267,100,50,65,bug,flying,28.4,3,0,
['Shed Skin'],1.0,1.0,1.0,1.0,1.0,0.5,2.0,2.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,35,3840,70,205,120,Cocoon Pokémon,55,1000000,0.7,50,Mayuldマユルド,cascoon,50.0,268,25,25,15,bug,,11.5,3,0,dustox
"['Shield Dust', 'Compoundeyes']",0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,50,3840,70,385,45,Poison Moth Pokémon,70,1000000,1.2,60,Dokucaleドクケイル,dustox,50.0,269,50,90,65,bug,poison,31.6,3,0,
"['Swift Swim', 'Rain Dish', 'Own Tempo']",2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,0.5,0.25,30,3840,70,220,255,Water Weed Pokémon,30,1059860,0.5,40,Hassbohハスボー,lotad,50.0,270,40,50,30,water,grass,2.6,3,0,lombre
